CustomerID,FirstName,LastName,Gender,Age,Email,Phone,BirthDate,DNI
1,John,Doe,Male,34,john.doe@example.com,123-456-7890,1991-04-15,DNI001
2,Jane,Smith,Female,45,jane.smith@example.com,234-567-8901,1980-07-22,DNI002
3,Michael,Brown,Male,29,michael.brown@example.com,345-678-9012,1995-01-10,DNI003
4,Susan,Johnson,Female,50,susan.johnson@example.com,456-789-0123,1975-03-05,DNI004
5,Robert,Davis,Male,38,robert.davis@example.com,567-890-1234,1987-09-12,DNI005
6,Linda,Martinez,Female,27,linda.martinez@example.com,678-901-2345,1998-06-18,DNI006
7,James,Garcia,Male,41,james.garcia@example.com,789-012-3456,1983-11-25,DNI007
8,Karen,Wilson,Female,33,karen.wilson@example.com,890-123-4567,1992-02-14,DNI008
9,William,Moore,Male,36,william.moore@example.com,901-234-5678,1989-08-30,DNI009
10,Patricia,Taylor,Female,48,patricia.taylor@example.com,012-345-6789,1977-12-01,DNI010
11,Charles,Anderson,Male,30,charles.anderson@example.com,123-456-7891,1994-05-20,DNI011
12,Mary,Thomas,Female,52,mary.thomas@example.com,234-567-8902,1973-10-15,DNI012
13,David,Jackson,Male,39,david.jackson@example.com,345-678-9013,1986-07-08,DNI013
14,Barbara,White,Female,28,barbara.white@example.com,456-789-0124,1997-03-22,DNI014
15,Joseph,Harris,Male,43,joseph.harris@example.com,567-890-1235,1982-09-17,DNI015
16,Nancy,Martin,Female,32,nancy.martin@example.com,678-901-2346,1993-11-11,DNI016
17,Thomas,Thompson,Male,37,thomas.thompson@example.com,789-012-3457,1988-01-25,DNI017
18,Lisa,Garcia,Female,49,lisa.garcia@example.com,890-123-4568,1976-06-05,DNI018
19,Christopher,Martinez,Male,31,christopher.martinez@example.com,901-234-5679,1994-12-19,DNI019
20,Sandra,Robinson,Female,53,sandra.robinson@example.com,012-345-6790,1972-04-09,DNI020
21,Daniel,Clark,Male,40,daniel.clark@example.com,123-456-7892,1984-08-13,DNI021
22,Emily,Rodriguez,Female,26,emily.rodriguez@example.com,234-567-8903,1999-03-03,DNI022
23,Matthew,Lewis,Male,44,matthew.lewis@example.com,345-678-9014,1981-05-27,DNI023
24,Jessica,Lee,Female,35,jessica.lee@example.com,456-789-0125,1990-10-02,DNI024
25,Anthony,Walker,Male,47,anthony.walker@example.com,567-890-1236,1978-01-18,DNI025
26,Sarah,Hall,Female,51,sarah.hall@example.com,678-901-2347,1974-09-29,DNI026
27,Andrew,Allen,Male,29,andrew.allen@example.com,789-012-3458,1996-02-12,DNI027
28,Laura,Young,Female,42,laura.young@example.com,890-123-4569,1983-07-07,DNI028
29,Joshua,Hernandez,Male,34,joshua.hernandez@example.com,901-234-5670,1991-11-23,DNI029
30,Elizabeth,King,Female,46,elizabeth.king@example.com,012-345-6791,1979-06-15,DNI030
31,Steven,Wright,Male,39,steven.wright@example.com,123-456-7893,1986-03-30,DNI031
32,Megan,Lopez,Female,50,megan.lopez@example.com,234-567-8904,1975-12-10,DNI032
33,Kevin,Scott,Male,28,kevin.scott@example.com,345-678-9015,1997-08-25,DNI033
34,Ashley,Green,Female,41,ashley.green@example.com,456-789-0126,1984-04-14,DNI034
35,Brian,Adams,Male,36,brian.adams@example.com,567-890-1237,1989-09-05,DNI035
36,Michelle,Baker,Female,48,michelle.baker@example.com,678-901-2348,1977-01-22,DNI036
37,Edward,Gonzalez,Male,30,edward.gonzalez@example.com,789-012-3459,1995-05-11,DNI037
38,Rebecca,Nelson,Female,52,rebecca.nelson@example.com,890-123-4570,1973-10-19,DNI038
39,Jason,Carter,Male,38,jason.carter@example.com,901-234-5671,1987-06-06,DNI039
